iteration,exploitability_NFSP
1,4.747222222222224
3,4.747222222222224
5,4.747222222222224
10,4.747222222222224
17,4.747222222222224
31,4.747222222222224
56,4.850915055394366
100,5.030214747073645
177,4.966919678872963
316,4.924830765846187
562,4.917365187874198
1000,4.5467185200505735
1778,4.311733412209452
3162,4.347648803759446
5623,4.228901673970858
10000,3.429904278627275
17782,2.4089713698334916
31622,1.7621664660002974
56234,1.3804540247610446
100000,1.1256986403894245
177827,0.9807892431955232
316227,0.9783140064837215
562341,0.9679284390124556
1000000,0.8177363930912036
